:START_ID,:END_ID,:TYPE
EXP_0180,PFAS_203,TARGETS_PFAS
EXP_0181,PFAS_204,TARGETS_PFAS
EXP_0188,PFAS_203,TARGETS_PFAS
EXP_0189,PFAS_204,TARGETS_PFAS
EXP_0196,PFAS_203,TARGETS_PFAS
EXP_0197,PFAS_204,TARGETS_PFAS
EXP_0198,PFAS_156,TARGETS_PFAS
EXP_0199,PFAS_156,TARGETS_PFAS
EXP_0200,PFAS_156,TARGETS_PFAS
EXP_0201,PFAS_156,TARGETS_PFAS
EXP_0202,PFAS_156,TARGETS_PFAS
EXP_0203,PFAS_156,TARGETS_PFAS
EXP_0204,PFAS_156,TARGETS_PFAS
EXP_0205,PFAS_054,TARGETS_PFAS
EXP_0206,PFAS_054,TARGETS_PFAS
EXP_0207,PFAS_098,TARGETS_PFAS
EXP_0208,PFAS_156,TARGETS_PFAS
EXP_0209,PFAS_156,TARGETS_PFAS
EXP_0210,PFAS_156,TARGETS_PFAS
EXP_0211,PFAS_156,TARGETS_PFAS
EXP_0212,PFAS_156,TARGETS_PFAS
EXP_0213,PFAS_156,TARGETS_PFAS
EXP_0214,PFAS_156,TARGETS_PFAS
EXP_0215,PFAS_156,TARGETS_PFAS
EXP_0216,PFAS_156,TARGETS_PFAS
EXP_0217,PFAS_156,TARGETS_PFAS
EXP_0218,PFAS_054,TARGETS_PFAS
EXP_0219,PFAS_054,TARGETS_PFAS
EXP_0220,PFAS_054,TARGETS_PFAS
EXP_0221,PFAS_054,TARGETS_PFAS
EXP_0222,PFAS_054,TARGETS_PFAS
EXP_0225,PFAS_054,TARGETS_PFAS
EXP_0226,PFAS_156,TARGETS_PFAS
EXP_0227,PFAS_054,TARGETS_PFAS
EXP_0228,PFAS_156,TARGETS_PFAS
EXP_0229,PFAS_156,TARGETS_PFAS
EXP_0230,PFAS_076,TARGETS_PFAS
EXP_0231,PFAS_084,TARGETS_PFAS
EXP_0232,PFAS_098,TARGETS_PFAS
EXP_0233,PFAS_054,TARGETS_PFAS
EXP_0234,PFAS_155,TARGETS_PFAS
