:ID,:LABEL,Name,CAS_RN,SMILES,StdInChIKey,PubChem_CID,DTXSID,Molecular_Formula,logKow,logKow_predicted,n_F_atoms,MW,functional_group,chain_length,Ether_Linkage,HeavyAtomCount,HBD,HBA,RotatableBonds,TPSA,Fsp3,logP_rdkit,MolMR,QED,NumCl,NumBr,NumN,NumO,NumS,BertzCT,Kappa1,Kappa2,Kappa3,ExposureScore_Water_KEMI,HazScore_EcoChronic_KEMI,ValidationLevel_KEMI,pKa,node_type,CMC (mg/L)
PFAS_174,PFAS,1-Hydroperfluoroheptane,,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,HBZVXKDQRIQMCW-UHFFFAOYSA-N,9778.0,DTXSID80871634,C7H1F15,4.89,4.89,15.0,369.9839,Perfluoroalkane,7.0,no,22.0,0.0,0.0,5.0,0.0,1.0,4.9903,36.794,0.5986,0.0,0.0,0.0,0.0,0.0,400.6043,20.95,4.9744,2.4472,0.44,0.03,5.0,,compound,
PFAS_175,PFAS,3-(Perfluoro(11-methyldodecyl))-2-hydroxypropyl dihydrogen phosphate,63295-28-3,C(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)C(CO[P](=O)(O)O)O,NZFUNOLSROCOSD-UHFFFAOYSA-N,6454571.0,DTXSID80880529,C16H8F27O5P1,8.15,8.15,27.0,823.9678,Phosphonate/Phosphate,4.0,yes,49.0,3.0,3.0,15.0,86.99,1.0,8.0326,94.0389,0.1152,0.0,0.0,0.0,5.0,0.0,1216.3723,47.18,12.1229,6.5645,0.24,0.08,3.0,,compound,
PFAS_176,PFAS,Perfluoro(3-(1-(ethenyloxy)propan-2-yloxy)propanenitrile),69804-19-9,FC(F)=C(F)OC(F)(F)C(F)(OC(F)(F)C(F)(F)C#N)C(F)(F)F,LYIPDZSLYLDLCU-UHFFFAOYSA-N,112160.0,DTXSID80880943,C8F13N1O2,3.66,3.66,13.0,388.9721,Ether,5.0,yes,24.0,0.0,3.0,6.0,42.25,0.625,4.6273,42.868,0.4918,0.0,0.0,1.0,2.0,0.0,543.1554,22.08,6.1819,3.9388,0.2,0.04,3.0,,compound,
PFAS_177,PFAS,"N,N-Dimethyl-3-((perfluorohexyl)ethylsulfonyl)aminopropanamine N-oxide",80475-32-7,CN(C)CCC[NH+]([O-])[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,KBDMGVIUNQWTND-UHFFFAOYSA-N,138394285.0,DTXSID80880983,C13H17F13N2O3S1,3.78,3.78,13.0,528.0752,Sulfonamide,7.0,yes,32.0,1.0,4.0,12.0,64.88,1.0,2.7795,81.5615,0.3129,0.0,0.0,2.0,3.0,1.0,737.8442,30.92,9.283,5.6944,0.59,0.08,5.0,,compound,
PFAS_178,PFAS,1-(Perfluoroethoxy)perfluoropropane,66840-50-4,FC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,YBVRDNKKIWCSHJ-UHFFFAOYSA-N,10968705.0,DTXSID80892066,C5F12O1,4.6,4.6,12.0,303.9758,Ether,6.0,yes,18.0,0.0,1.0,3.0,9.23,1.0,3.9485,28.036,0.7175,0.0,0.0,0.0,1.0,0.0,296.5701,17.12,4.0622,2.9219,0.58,0.01,5.0,,compound,
PFAS_179,PFAS,Perfluoro(2-((6-chlorohexyl)oxy)ethanesulfonic acid),756426-58-1,FC(F)(Cl)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)C(F)(S(=O)(O)=O)F,GGOUUEMCWBTDMT-UHFFFAOYSA-N,22568738.0,DTXSID80892506,C8HClF16O4S,,,16.0,531.9029,Sulfonic acid/Sulfonate,6.0,yes,30.0,1.0,3.0,9.0,63.6,1.0,5.042,58.0626,0.2568,1.0,0.0,0.0,4.0,1.0,755.6969,29.04,7.0204,3.9606,0.02,,,,compound,
PFAS_180,PFAS,"1,6-Diiodoperfluorohexane",375-80-4,FC(I)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,JOQDDLBOAIKFQX-UHFFFAOYSA-N,78994.0,DTXSID90190949,C6F12I2,6.47,6.47,12.0,553.7898,Iodinated,5.0,no,20.0,0.0,0.0,5.0,0.0,1.0,5.5832,57.722,0.2368,0.0,0.0,0.0,0.0,0.0,327.1243,20.62,5.0725,2.7777,0.21,0.14,2.0,,compound,
PFAS_181,PFAS,Perfluoroglutaric anhydride,376-68-1,FC1(F)C(=O)OC(=O)C(F)(F)C1(F)F,IHYAGCYJVNHXCT-UHFFFAOYSA-N,78995.0,DTXSID90191037,C5F6O3,2.19,2.19,6.0,221.9752,Ester,1.0,yes,14.0,0.0,3.0,0.0,43.37,0.6,0.9757,25.94,0.3482,0.0,0.0,0.0,3.0,0.0,280.5888,10.7986,2.3938,0.946,0.2,0.02,2.0,,compound,
PFAS_182,PFAS,3-Perfluoroheptylpropanoic acid (7:3 FTCA),812-70-4,OC(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,HLBRGVKRZQSQHB-UHFFFAOYSA-N,2783376.0,DTXSID90382620,C10H5F15O2,5.8,5.8,15.0,442.005,Carboxylic acid,8.0,no,27.0,1.0,1.0,8.0,37.3,0.9,5.2253,52.6068,0.5236,0.0,0.0,0.0,2.0,0.0,561.4352,25.42,6.4927,3.5966,0.02,0.01,4.0,,compound,
PFAS_183,PFAS,Perflutren,76-19-7,FC(F)(F)C(F)(F)C(F)(F)F,QYSGYZVSCZSLHT-UHFFFAOYSA-N,6432.0,DTXSID9052503,C3F8,2.82,2.82,8.0,187.9872,Perfluoroalkane,4.0,no,11.0,0.0,0.0,0.0,0.0,1.0,2.7463,17.057,0.5124,0.0,0.0,0.0,0.0,0.0,120.3966,10.44,2.2109,1.718,0.4,0.02,2.0,,compound,
